alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1789581987.0274,elite,2284.7252093808,1783188459.7046,"AS20771 Caucasus Online Ltd.",CAUCASUS-CABLE-SYSTEM,Tbilisi,Asia,AS,Georgia,GE,,false,"Caucasus Online Ltd.",41.6959,44.832,false,"Caucasus Online Ltd",true,Tbilisi,success,Asia/Tbilisi,,1789236628,1789582040.7499,4153,socks4,85.117.32.166:4153,true,1277.6069641113,125636,165326,43.179521724486,85.117.32.166
true,1789582040.7411,elite,1262.5527863811,1780940342.1291,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Jakarta,Asia,AS,Indonesia,ID,,true,"Alibaba (US) Technology Co., Ltd.",-6.2114,106.8446,false,"Alibaba.com Singapore E-Commerce Private Limited",true,Jakarta,success,Asia/Jakarta,12850,1789404596,1789582040.7411,2080,socks5,8.215.25.3:2080,true,842.62609481812,89343,71637,55.499440924338,8.215.25.3
true,1789581881.9942,elite,4240.7567659851,1789442107.6602,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789441806,1789582040.7361,11227,socks5,45.74.31.40:11227,true,2093.9700603485,976,955,50.543759709995,45.74.31.40
true,1789582040.6786,elite,1221.1401663812,1776078922.2716,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,,false,"Performive LLC",34.0549,-118.243,false,"Performive LLC",true,California,success,America/Los_Angeles,90009,1789315792,1789582040.6786,4145,socks5,162.253.68.97:4145,true,969.99669075012,76804,75500,50.428091186049,162.253.68.97
true,1789582040.6775,elite,3366.5741743714,1788589412.8125,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,"San Diego","North America",NA,"United States",US,,false,"Cox Communications Inc",33.0287,-117.0846,false,"Cox Communications, Inc",true,California,success,America/Los_Angeles,92127,1789193530,1789582040.6775,4145,socks4,72.194.42.156:4145,true,824.79739189148,23599,32526,42.047216035635,72.194.42.156
true,1789582040.6383,elite,4580.5554763278,1789443644.4967,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789441806,1789582040.6383,9861,socks5,45.74.31.25:9861,true,2129.1434764862,843,934,47.439504783343,45.74.31.25
true,1789581507.3465,elite,5980.2631116976,1789355236.0225,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789353342,1789582040.6286,4186,socks5,45.74.31.25:4186,true,2492.6662445068,471,1611,22.622478386167,45.74.31.25
true,1789581998.8361,elite,3470.6316705194,1783220824.8118,"AS4750 CS LOXINFO PUBLIC COMPANY LIMITED",CSLOXINFO-AS-AP,"Huai Khwang",Asia,AS,Thailand,TH,"Khwaeng Huai Khwang",false,sinokor1,13.7697,100.574,false,"Sinokor Merchant Marine (Thailand) Co., Ltd.",true,Bangkok,success,Asia/Bangkok,10320,1789265952,1789582040.603,1080,socks4,203.172.120.179:1080,true,2111.3557815552,187173,148315,55.791265261351,203.172.120.179
true,1789581953.2029,elite,3578.7148682539,1789537687.8796,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789533885,1789582040.4149,14274,socks5,45.74.31.41:14274,true,1194.8366165161,242,282,46.18320610687,45.74.31.41
true,1789581969.4945,elite,4898.7553649478,1789544198.099,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789541376,1789582040.3907,11563,socks5,45.74.31.22:11563,true,2219.5401191711,90,215,29.508196721311,45.74.31.22
true,1789487882.6289,elite,1211.6853340136,1783526730.3243,"AS17252 Colocation America Corporation",AS2-COLOAM,"Los Angeles","North America",NA,"United States",US,,true,"Vault Host",34.0549,-118.243,false,"Equinox Servers",true,California,success,America/Los_Angeles,90009,1789572023,1789582040.3159,8081,http,23.228.86.236:8081,false,302.07180976868,104799,71,99.93229712978,23.228.86.236
true,1789582040.1811,elite,5502.055274378,1789448408.2146,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789447118,1789582040.1811,6692,socks5,45.74.31.25:6692,true,700.12855529785,303,863,25.98627787307,45.74.31.25
true,1789471553.5539,elite,1116.0177044133,1785885117.5884,"AS17252 Colocation America Corporation",AS2-COLOAM,"Los Angeles","North America",NA,"United States",US,,true,"Colocation America Corporation",34.0549,-118.243,false,"T3 Web Hosting",true,California,success,America/Los_Angeles,90009,1789511429,1789582040.0796,8081,http,67.203.23.88:8081,false,331.89582824707,68563,51,99.92567114583,67.203.23.88
true,1789581997.2333,elite,3563.86578379,1710540044.8243,"AS27882 Telefónica Celular de Bolivia S.A.","Telefonica Celular de Bolivia S.A.","La Paz","South America",SA,Bolivia,BO,,false,"Telefónica Celular de Bolivia S.A.",-16.5002,-68.1493,true,"Telefónica Celular de Bolivia S.A",true,"La Paz Department",success,America/La_Paz,,1789164701,1789582040.0389,33638,socks4,190.104.26.227:33638,true,1109.9243164062,354702,968240,26.811606253335,190.104.26.227
true,1789581659.6321,elite,4206.4180091905,1789533788.0175,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789531210,1789582040.014,13030,socks5,45.74.31.40:13030,true,2024.0602493286,321,264,54.871794871795,45.74.31.40
true,1789582039.9773,elite,7420.9056498672,1788551271.9303,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789155431,1789582039.9773,4729,socks5,45.74.31.30:4729,true,3073.7097263336,2034,7287,21.8216929514,45.74.31.30
